id,age,sex,sleep,stress,shift,fatigue,fatigue_label,sex_label,age_group
111,27,1.0,6.29,6.4,1,1,Sedang,Male,Muda (<30)
112,23,1.0,5.72,5.2,1,1,Sedang,Male,Muda (<30)
113,53,1.0,5.0,7.4,1,1,Sedang,Male,Senior (>45)
114,45,0.0,6.88,9.0,1,1,Sedang,Female,Dewasa (30-45)
115,38,1.0,5.79,7.2,1,1,Sedang,Male,Dewasa (30-45)
116,48,0.0,5.83,4.8,1,1,Sedang,Female,Senior (>45)
117,45,1.0,8.23,3.8,1,0,Rendah,Male,Dewasa (30-45)
118,24,1.0,7.67,7.7,1,1,Sedang,Male,Muda (<30)
119,50,0.0,4.2,6.4,1,2,Tinggi,Female,Senior (>45)
120,35,1.0,6.32,5.8,1,1,Sedang,Male,Dewasa (30-45)
121,45,1.0,8.65,6.6,1,1,Sedang,Male,Dewasa (30-45)
122,50,0.0,5.29,6.7,1,1,Sedang,Female,Senior (>45)
123,27,1.0,7.38,7.8,1,1,Sedang,Male,Muda (<30)
124,22,0.0,8.75,4.6,1,0,Rendah,Female,Muda (<30)
125,25,0.0,6.25,6.8,1,1,Sedang,Female,Muda (<30)
126,31,0.0,6.59,5.9,1,1,Sedang,Female,Dewasa (30-45)
127,45,1.0,5.71,4.4,1,1,Sedang,Male,Dewasa (30-45)
128,48,1.0,7.89,5.1,1,1,Sedang,Male,Senior (>45)
129,18,0.0,6.25,6.2,1,1,Sedang,Female,Muda (<30)
130,34,0.0,9.02,6.9,1,1,Sedang,Female,Dewasa (30-45)
131,31,0.0,7.75,2.4,1,0,Rendah,Female,Dewasa (30-45)
132,25,0.0,6.4,4.5,1,1,Sedang,Female,Muda (<30)
133,22,1.0,6.26,8.3,1,1,Sedang,Male,Muda (<30)
134,28,1.0,6.93,3.3,1,0,Rendah,Male,Muda (<30)
135,54,0.0,6.37,7.8,1,1,Sedang,Female,Senior (>45)
136,28,0.0,5.77,5.7,1,1,Sedang,Female,Muda (<30)
137,34,1.0,6.27,4.0,1,1,Sedang,Male,Dewasa (30-45)
138,40,0.0,7.14,6.3,1,1,Sedang,Female,Dewasa (30-45)
139,29,0.0,4.76,7.5,1,2,Tinggi,Female,Muda (<30)
140,58,0.0,5.58,5.3,1,1,Sedang,Female,Senior (>45)
141,57,1.0,7.57,3.7,1,0,Rendah,Male,Senior (>45)
142,26,1.0,7.27,5.7,1,1,Sedang,Male,Muda (<30)
143,33,0.0,4.92,9.3,1,2,Tinggi,Female,Dewasa (30-45)
144,27,1.0,5.61,6.0,1,1,Sedang,Male,Muda (<30)
145,27,0.0,7.24,5.2,1,1,Sedang,Female,Muda (<30)
146,19,0.0,8.7,5.1,1,1,Sedang,Female,Muda (<30)
147,37,0.0,6.05,5.2,1,1,Sedang,Female,Dewasa (30-45)
148,33,0.0,7.29,6.7,1,1,Sedang,Female,Dewasa (30-45)
149,20,1.0,4.35,6.6,1,2,Tinggi,Male,Muda (<30)
150,26,0.0,5.23,4.9,1,1,Sedang,Female,Muda (<30)
151,51,1.0,5.86,7.2,1,1,Sedang,Male,Senior (>45)
152,25,0.0,5.19,5.7,1,1,Sedang,Female,Muda (<30)
153,23,1.0,7.23,6.8,1,1,Sedang,Male,Muda (<30)
154,33,0.0,5.61,5.4,1,1,Sedang,Female,Dewasa (30-45)
155,62,0.0,5.48,5.9,1,1,Sedang,Female,Senior (>45)
156,25,0.0,7.17,5.7,1,1,Sedang,Female,Muda (<30)
157,39,0.0,7.93,8.7,1,1,Sedang,Female,Dewasa (30-45)
158,43,0.0,5.67,7.7,1,1,Sedang,Female,Dewasa (30-45)
159,25,0.0,6.52,4.5,1,0,Rendah,Female,Muda (<30)
160,41,0.0,4.01,7.8,1,2,Tinggi,Female,Dewasa (30-45)
161,29,0.0,5.94,7.0,1,1,Sedang,Female,Muda (<30)
162,38,0.0,5.31,9.1,1,1,Sedang,Female,Dewasa (30-45)
163,38,1.0,7.27,6.8,1,1,Sedang,Male,Dewasa (30-45)
164,35,1.0,8.73,6.7,1,1,Sedang,Male,Dewasa (30-45)
165,21,0.0,5.15,5.7,1,1,Sedang,Female,Muda (<30)
166,46,1.0,4.15,7.0,1,2,Tinggi,Male,Senior (>45)
167,28,1.0,9.41,2.9,1,0,Rendah,Male,Muda (<30)
168,24,1.0,7.85,2.6,1,0,Rendah,Male,Muda (<30)
169,19,0.0,7.04,5.9,1,1,Sedang,Female,Muda (<30)
170,36,0.0,6.7,5.3,1,1,Sedang,Female,Dewasa (30-45)
171,39,1.0,7.39,5.1,1,1,Sedang,Male,Dewasa (30-45)
172,18,0.0,7.12,4.7,1,0,Rendah,Female,Muda (<30)
173,34,1.0,8.32,1.6,1,0,Rendah,Male,Dewasa (30-45)
174,25,0.0,6.79,5.4,1,1,Sedang,Female,Muda (<30)
175,38,1.0,7.58,4.5,1,0,Rendah,Male,Dewasa (30-45)
176,24,1.0,8.3,4.0,1,0,Rendah,Male,Muda (<30)
177,40,1.0,7.09,6.8,1,1,Sedang,Male,Dewasa (30-45)
178,30,1.0,6.09,7.2,1,1,Sedang,Male,Muda (<30)
179,54,1.0,10.02,3.9,1,0,Rendah,Male,Senior (>45)
180,22,0.0,7.78,5.7,1,1,Sedang,Female,Muda (<30)
181,28,1.0,4.19,5.6,1,1,Sedang,Male,Muda (<30)
182,22,0.0,6.71,6.7,1,1,Sedang,Female,Muda (<30)
183,52,0.0,4.34,7.3,1,2,Tinggi,Female,Senior (>45)
184,49,1.0,7.05,4.4,1,0,Rendah,Male,Senior (>45)
185,26,0.0,5.64,6.3,1,1,Sedang,Female,Muda (<30)
186,39,0.0,10.5,4.5,1,0,Rendah,Female,Dewasa (30-45)
187,45,0.0,6.43,6.2,1,1,Sedang,Female,Dewasa (30-45)
188,35,0.0,6.33,6.7,1,1,Sedang,Female,Dewasa (30-45)
189,34,0.0,4.1,8.7,1,2,Tinggi,Female,Dewasa (30-45)
190,25,0.0,8.29,4.4,1,0,Rendah,Female,Muda (<30)
191,21,0.0,6.32,3.6,1,1,Sedang,Female,Muda (<30)
192,50,0.0,6.28,6.2,1,1,Sedang,Female,Senior (>45)
193,50,0.0,6.02,7.2,1,1,Sedang,Female,Senior (>45)
194,38,0.0,6.07,4.9,1,1,Sedang,Female,Dewasa (30-45)
195,28,0.0,7.19,8.9,1,1,Sedang,Female,Muda (<30)
196,29,0.0,6.79,4.4,1,0,Rendah,Female,Muda (<30)
197,41,0.0,4.8,7.1,1,2,Tinggi,Female,Dewasa (30-45)
198,50,1.0,6.13,4.6,1,1,Sedang,Male,Senior (>45)
199,49,0.0,6.59,5.0,1,0,Rendah,Female,Senior (>45)
200,44,0.0,8.52,5.4,1,1,Sedang,Female,Dewasa (30-45)
201,38,1.0,6.5,5.1,1,1,Sedang,Male,Dewasa (30-45)
202,21,0.0,5.52,6.2,1,1,Sedang,Female,Muda (<30)
203,23,0.0,5.91,7.0,1,1,Sedang,Female,Muda (<30)
204,50,0.0,5.34,6.3,1,1,Sedang,Female,Senior (>45)
205,37,1.0,5.46,7.3,1,1,Sedang,Male,Dewasa (30-45)
206,18,0.0,7.28,4.4,1,0,Rendah,Female,Muda (<30)
207,21,1.0,6.06,8.5,1,1,Sedang,Male,Muda (<30)
208,39,1.0,7.64,6.2,1,1,Sedang,Male,Dewasa (30-45)
209,18,1.0,4.9,7.5,1,2,Tinggi,Male,Muda (<30)
210,23,0.0,6.55,6.5,1,1,Sedang,Female,Muda (<30)
211,35,0.0,5.77,6.6,1,1,Sedang,Female,Dewasa (30-45)
212,40,1.0,6.85,5.6,1,1,Sedang,Male,Dewasa (30-45)
213,38,1.0,8.84,5.0,1,0,Rendah,Male,Dewasa (30-45)
214,25,1.0,4.55,7.1,1,2,Tinggi,Male,Muda (<30)
215,41,1.0,7.6,6.4,1,1,Sedang,Male,Dewasa (30-45)
216,25,0.0,5.19,6.3,1,1,Sedang,Female,Muda (<30)
217,28,0.0,7.01,4.4,1,0,Rendah,Female,Muda (<30)
218,42,0.0,5.72,5.9,1,1,Sedang,Female,Dewasa (30-45)
219,38,1.0,7.04,6.9,1,1,Sedang,Male,Dewasa (30-45)
220,47,1.0,6.26,6.3,1,1,Sedang,Male,Senior (>45)
221,39,0.0,7.47,5.5,1,1,Sedang,Female,Dewasa (30-45)
222,36,0.0,6.56,3.5,1,0,Rendah,Female,Dewasa (30-45)
223,21,1.0,7.7,4.8,1,0,Rendah,Male,Muda (<30)
224,29,0.0,7.77,6.6,1,1,Sedang,Female,Muda (<30)
225,26,1.0,7.32,4.9,1,0,Rendah,Male,Muda (<30)
226,26,0.0,5.6,5.6,1,1,Sedang,Female,Muda (<30)
227,59,1.0,5.31,6.7,1,1,Sedang,Male,Senior (>45)
228,30,0.0,5.1,7.4,1,1,Sedang,Female,Muda (<30)
229,50,1.0,6.61,6.5,1,1,Sedang,Male,Senior (>45)
230,38,0.0,8.27,1.3,1,0,Rendah,Female,Dewasa (30-45)
231,44,1.0,6.58,6.3,1,1,Sedang,Male,Dewasa (30-45)
232,33,1.0,9.49,5.3,1,1,Sedang,Male,Dewasa (30-45)
233,36,1.0,6.35,5.7,1,1,Sedang,Male,Dewasa (30-45)
234,33,1.0,7.75,6.3,1,1,Sedang,Male,Dewasa (30-45)
235,24,0.0,8.09,4.8,1,0,Rendah,Female,Muda (<30)
236,41,1.0,5.52,4.6,1,1,Sedang,Male,Dewasa (30-45)
237,27,0.0,7.44,6.0,1,1,Sedang,Female,Muda (<30)
238,18,0.0,6.86,2.3,1,0,Rendah,Female,Muda (<30)
239,38,0.0,6.68,6.0,1,1,Sedang,Female,Dewasa (30-45)
240,24,0.0,7.02,5.9,1,1,Sedang,Female,Muda (<30)
241,54,0.0,7.05,8.2,1,1,Sedang,Female,Senior (>45)
242,56,0.0,5.16,6.6,1,1,Sedang,Female,Senior (>45)
243,52,0.0,5.34,8.8,1,1,Sedang,Female,Senior (>45)
244,29,1.0,4.95,6.5,1,2,Tinggi,Male,Muda (<30)
245,18,0.0,8.73,4.3,1,0,Rendah,Female,Muda (<30)
246,53,1.0,5.58,6.3,1,1,Sedang,Male,Senior (>45)
247,31,0.0,4.72,7.7,1,2,Tinggi,Female,Dewasa (30-45)
248,58,0.0,5.59,5.8,1,1,Sedang,Female,Senior (>45)
249,57,1.0,6.3,5.3,1,1,Sedang,Male,Senior (>45)
250,47,0.0,6.58,6.9,1,1,Sedang,Female,Senior (>45)
251,27,0.0,7.56,4.2,1,0,Rendah,Female,Muda (<30)
252,30,0.0,5.67,5.4,1,1,Sedang,Female,Muda (<30)
253,47,1.0,3.66,9.0,1,2,Tinggi,Male,Senior (>45)
254,27,1.0,7.85,4.7,1,0,Rendah,Male,Muda (<30)
255,23,0.0,5.42,7.1,1,1,Sedang,Female,Muda (<30)
256,35,0.0,6.76,5.5,1,1,Sedang,Female,Dewasa (30-45)
257,54,1.0,6.52,5.1,1,1,Sedang,Male,Senior (>45)
258,40,0.0,6.68,5.7,1,1,Sedang,Female,Dewasa (30-45)
259,36,0.0,7.37,3.1,1,0,Rendah,Female,Dewasa (30-45)
260,21,0.0,7.61,5.1,1,1,Sedang,Female,Muda (<30)
261,37,0.0,6.92,5.8,1,1,Sedang,Female,Dewasa (30-45)
262,63,0.0,6.03,6.5,1,1,Sedang,Female,Senior (>45)
263,22,0.0,5.11,6.3,1,1,Sedang,Female,Muda (<30)
264,34,1.0,7.19,5.4,1,1,Sedang,Male,Dewasa (30-45)
265,49,1.0,3.75,7.2,1,2,Tinggi,Male,Senior (>45)
266,42,0.0,6.03,4.6,1,1,Sedang,Female,Dewasa (30-45)
267,40,1.0,6.69,6.1,1,1,Sedang,Male,Dewasa (30-45)
268,40,1.0,7.69,2.9,1,0,Rendah,Male,Dewasa (30-45)
269,29,0.0,5.05,8.3,1,1,Sedang,Female,Muda (<30)
270,27,0.0,5.36,5.0,1,1,Sedang,Female,Muda (<30)
271,45,1.0,6.51,7.3,1,1,Sedang,Male,Dewasa (30-45)
272,45,1.0,6.46,3.7,1,1,Sedang,Male,Dewasa (30-45)
273,48,1.0,5.58,6.3,1,1,Sedang,Male,Senior (>45)
274,51,1.0,7.2,6.8,1,1,Sedang,Male,Senior (>45)
275,34,1.0,5.84,4.7,1,1,Sedang,Male,Dewasa (30-45)
276,33,1.0,4.93,7.9,1,2,Tinggi,Male,Dewasa (30-45)
277,44,0.0,6.13,4.7,1,1,Sedang,Female,Dewasa (30-45)
278,38,0.0,4.01,8.0,1,2,Tinggi,Female,Dewasa (30-45)
279,40,0.0,6.58,6.3,1,1,Sedang,Female,Dewasa (30-45)
280,44,1.0,4.29,7.5,1,2,Tinggi,Male,Dewasa (30-45)
281,50,0.0,7.23,3.3,1,0,Rendah,Female,Senior (>45)
282,28,0.0,6.51,7.0,1,1,Sedang,Female,Muda (<30)
283,29,1.0,5.74,5.4,1,1,Sedang,Male,Muda (<30)
284,21,0.0,7.79,2.7,1,0,Rendah,Female,Muda (<30)
285,36,1.0,6.77,6.7,1,1,Sedang,Male,Dewasa (30-45)
286,19,1.0,8.17,7.7,1,1,Sedang,Male,Muda (<30)
287,32,0.0,6.2,7.8,1,1,Sedang,Female,Dewasa (30-45)
288,35,1.0,3.99,6.5,1,2,Tinggi,Male,Dewasa (30-45)
289,27,1.0,6.78,5.8,1,1,Sedang,Male,Muda (<30)
290,36,0.0,6.93,5.5,1,1,Sedang,Female,Dewasa (30-45)
291,19,,5.32,7.0,1,1,Sedang,,Muda (<30)
292,19,0.0,5.26,5.4,1,1,Sedang,Female,Muda (<30)
293,46,1.0,6.66,4.7,1,0,Rendah,Male,Senior (>45)
294,29,0.0,5.05,6.1,1,1,Sedang,Female,Muda (<30)
295,22,1.0,3.87,6.0,1,1,Sedang,Male,Muda (<30)
296,34,1.0,4.87,8.6,1,2,Tinggi,Male,Dewasa (30-45)
297,43,0.0,8.42,4.7,1,0,Rendah,Female,Dewasa (30-45)
298,25,1.0,6.58,6.0,1,1,Sedang,Male,Muda (<30)
299,37,0.0,5.65,4.8,1,1,Sedang,Female,Dewasa (30-45)
300,21,0.0,7.02,5.5,1,1,Sedang,Female,Muda (<30)
301,20,1.0,7.32,6.8,1,1,Sedang,Male,Muda (<30)
302,34,0.0,5.31,5.4,1,1,Sedang,Female,Dewasa (30-45)
303,35,0.0,6.39,5.2,1,1,Sedang,Female,Dewasa (30-45)
304,38,1.0,8.5,4.3,1,0,Rendah,Male,Dewasa (30-45)
305,41,0.0,7.92,5.7,1,1,Sedang,Female,Dewasa (30-45)
306,59,0.0,5.15,5.4,1,1,Sedang,Female,Senior (>45)
307,34,0.0,8.19,4.3,1,0,Rendah,Female,Dewasa (30-45)
308,28,0.0,7.52,1.0,1,0,Rendah,Female,Muda (<30)
309,44,0.0,5.17,8.0,1,1,Sedang,Female,Dewasa (30-45)
310,26,0.0,6.9,4.9,1,0,Rendah,Female,Muda (<30)
311,31,1.0,3.77,7.9,1,2,Tinggi,Male,Dewasa (30-45)
312,20,0.0,8.79,4.9,1,0,Rendah,Female,Muda (<30)
313,19,0.0,5.16,7.2,1,1,Sedang,Female,Muda (<30)
314,57,0.0,5.41,5.2,1,1,Sedang,Female,Senior (>45)
315,46,0.0,4.69,7.2,1,2,Tinggi,Female,Senior (>45)
316,40,0.0,6.48,4.6,1,1,Sedang,Female,Dewasa (30-45)
317,30,1.0,4.85,6.2,1,2,Tinggi,Male,Muda (<30)
318,24,0.0,6.95,7.4,1,1,Sedang,Female,Muda (<30)
319,23,0.0,6.9,4.9,1,0,Rendah,Female,Muda (<30)
320,26,0.0,9.66,1.0,1,0,Rendah,Female,Muda (<30)
321,35,0.0,9.22,1.0,1,0,Rendah,Female,Dewasa (30-45)
322,41,0.0,5.48,6.3,1,1,Sedang,Female,Dewasa (30-45)
323,39,1.0,6.96,7.1,1,1,Sedang,Male,Dewasa (30-45)
324,26,0.0,6.15,6.7,1,1,Sedang,Female,Muda (<30)
325,56,0.0,5.96,4.2,1,1,Sedang,Female,Senior (>45)
326,42,0.0,5.53,6.4,1,1,Sedang,Female,Dewasa (30-45)
327,35,1.0,4.19,6.6,1,2,Tinggi,Male,Dewasa (30-45)
328,37,0.0,5.02,7.1,1,1,Sedang,Female,Dewasa (30-45)
329,31,1.0,5.57,6.0,1,1,Sedang,Male,Dewasa (30-45)
330,26,1.0,6.09,6.6,1,1,Sedang,Male,Muda (<30)
331,29,1.0,9.02,3.6,1,0,Rendah,Male,Muda (<30)
332,43,0.0,7.24,5.0,1,0,Rendah,Female,Dewasa (30-45)
333,18,1.0,4.46,7.1,1,2,Tinggi,Male,Muda (<30)
334,22,1.0,6.85,4.9,1,0,Rendah,Male,Muda (<30)
335,19,1.0,6.28,5.3,1,1,Sedang,Male,Muda (<30)
336,19,0.0,5.43,7.7,1,1,Sedang,Female,Muda (<30)
337,47,1.0,7.31,6.8,1,1,Sedang,Male,Senior (>45)
338,40,1.0,5.86,5.8,1,1,Sedang,Male,Dewasa (30-45)
339,33,1.0,6.52,3.6,1,0,Rendah,Male,Dewasa (30-45)
340,21,0.0,7.06,6.1,1,1,Sedang,Female,Muda (<30)
341,33,0.0,7.93,6.4,1,1,Sedang,Female,Dewasa (30-45)
342,33,0.0,7.78,4.4,1,0,Rendah,Female,Dewasa (30-45)
343,23,0.0,7.59,2.2,1,0,Rendah,Female,Muda (<30)
344,31,0.0,5.65,6.0,1,1,Sedang,Female,Dewasa (30-45)
345,30,1.0,4.7,7.1,1,2,Tinggi,Male,Muda (<30)
346,37,0.0,7.78,5.9,1,1,Sedang,Female,Dewasa (30-45)
347,38,1.0,5.78,4.8,1,1,Sedang,Male,Dewasa (30-45)
348,19,0.0,7.03,3.8,1,0,Rendah,Female,Muda (<30)
349,29,0.0,4.36,5.9,1,1,Sedang,Female,Muda (<30)
350,38,0.0,5.74,5.3,1,1,Sedang,Female,Dewasa (30-45)
351,33,0.0,6.07,9.0,1,1,Sedang,Female,Dewasa (30-45)
352,47,1.0,4.86,7.3,1,2,Tinggi,Male,Senior (>45)
353,39,0.0,9.72,3.2,1,0,Rendah,Female,Dewasa (30-45)
354,23,1.0,5.03,5.6,1,1,Sedang,Male,Muda (<30)
355,20,0.0,7.61,1.7,1,0,Rendah,Female,Muda (<30)
356,38,,4.02,8.4,1,2,Tinggi,,Dewasa (30-45)
357,19,0.0,9.86,3.3,1,0,Rendah,Female,Muda (<30)
358,36,0.0,7.2,5.1,1,1,Sedang,Female,Dewasa (30-45)
359,54,0.0,6.28,6.1,1,1,Sedang,Female,Senior (>45)
360,36,1.0,4.42,10.0,1,2,Tinggi,Male,Dewasa (30-45)
361,30,0.0,4.71,6.2,1,2,Tinggi,Female,Muda (<30)
362,38,1.0,7.0,5.1,1,1,Sedang,Male,Dewasa (30-45)
363,32,1.0,6.16,4.1,1,1,Sedang,Male,Dewasa (30-45)
364,35,1.0,7.5,4.9,1,0,Rendah,Male,Dewasa (30-45)
365,54,0.0,4.74,5.9,1,1,Sedang,Female,Senior (>45)
366,30,1.0,8.59,5.2,1,1,Sedang,Male,Muda (<30)
367,57,0.0,4.93,8.1,1,2,Tinggi,Female,Senior (>45)
368,51,1.0,6.72,2.9,1,0,Rendah,Male,Senior (>45)
369,24,1.0,6.91,6.4,1,1,Sedang,Male,Muda (<30)
370,20,0.0,7.85,2.5,1,0,Rendah,Female,Muda (<30)
371,21,0.0,7.69,6.4,1,1,Sedang,Female,Muda (<30)
372,18,0.0,5.62,6.4,1,1,Sedang,Female,Muda (<30)
373,21,0.0,6.52,6.3,1,1,Sedang,Female,Muda (<30)
